feature,importance
Column_18,46720.13785362244
Column_15,22695.69764125347
Column_13,17773.01939725876
Column_14,11752.776644468307
Column_36,7149.8513197898865
Column_33,5934.161468744278
Column_21,5643.521169185638
Column_12,5257.134634971619
Column_25,5251.321282982826
Column_17,5188.8006019592285
Column_26,4123.939564704895
Column_2,3026.879065990448
Column_37,2919.4811882972717
Column_5,2766.236882209778
Column_3,2527.0616269111633
Column_32,2306.2291808128357
Column_0,2091.446013689041
Column_7,1794.6533639431
Column_10,1606.7773079872131
Column_16,1468.0310516357422
Column_9,1453.5318818092346
Column_24,1376.974234342575
Column_34,1309.784908771515
Column_8,1259.1196961402893
Column_6,1228.7093658447266
Column_30,1160.2649310827255
Column_11,1071.5794281959534
Column_27,935.7250025272369
Column_20,902.0905771255493
Column_1,674.9471900463104
Column_31,667.1277501583099
Column_28,542.6007348299026
Column_22,513.3962912559509
Column_19,459.29651975631714
Column_35,440.6232897043228
Column_29,343.6796498298645
Column_4,339.70730209350586
Column_23,194.49671936035156
