trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,SHORT,2017-08-17 12:50,2017-08-17 16:55,4411.00,4354.18,1.2881,25.76,245.0,L3,"EMA new up line (2 bars, P&L=+1.29%)",14
2,LONG,2017-08-17 17:15,2017-08-17 22:00,4322.23,4335.56,0.3084,6.17,285.0,L1,"SL L1 hit (close $4,333.55)",5
3,LONG,2017-08-18 04:00,2017-08-18 05:50,4269.26,4288.21,0.4439,8.88,110.0,L3,"SL L3 hit (close $4,289.88)",7
4,SHORT,2017-08-18 06:40,2017-08-18 15:05,4265.41,4256.97,0.1979,3.96,505.0,L1,"EMA new up line (2 bars, P&L=+0.20%)",10
5,SHORT,2017-08-18 15:20,2017-08-18 17:45,4225.84,4161.59,1.5204,30.41,145.0,L5,"SL L5 hit (close $4,158.56)",7
6,LONG,2017-08-18 17:55,2017-08-18 19:05,4193.35,4020.51,-4.1218,-82.44,70.0,L1,Hard stop -4.1%,4
7,LONG,2017-08-19 04:05,2017-08-19 06:55,4156.00,3986.87,-4.0695,-81.38,170.0,L1,Hard stop -4.1%,4
8,LONG,2017-08-19 07:35,2017-08-19 08:40,4004.96,4014.47,0.2375,4.74,65.0,L1,"EMA new down line (2 bars, P&L=+0.24%)",6
9,SHORT,2017-08-19 08:50,2017-08-19 12:15,3965.08,3945.12,0.5034,10.06,205.0,L3,"SL L3 hit (close $3,968.35)",14
10,LONG,2017-08-19 12:45,2017-08-19 21:55,4095.00,4074.23,-0.5072,-10.14,550.0,L2,"SL L2 hit (close $4,075.00)",18
11,LONG,2017-08-20 05:20,2017-08-20 08:10,4125.02,4155.87,0.7479,14.94,170.0,L1,"SL L1 hit (close $4,118.33)",13
12,LONG,2017-08-20 08:50,2017-08-20 20:50,4184.73,4125.44,-1.4168,-28.32,720.0,L1,"Time exit (720min, P&L=-1.42%)",15
13,SHORT,2017-08-21 04:00,2017-08-21 06:40,4047.75,3987.89,1.4788,29.55,160.0,L4,"SL L4 hit (close $4,003.11)",9
14,LONG,2017-08-21 07:05,2017-08-21 08:25,3970.63,4035.00,1.6212,32.40,80.0,L3,"SL L3 hit (close $4,010.79)",4
15,LONG,2017-08-21 08:50,2017-08-21 11:15,4035.82,4058.00,0.5496,10.99,145.0,L2,"SL L2 hit (close $4,060.00)",6
16,SHORT,2017-08-21 11:25,2017-08-21 13:15,4010.78,3997.24,0.3376,6.75,110.0,L1,"SL L1 hit (close $4,023.11)",13
17,LONG,2017-08-21 14:50,2017-08-21 15:50,3958.35,4020.00,1.5575,31.14,60.0,L3,"EMA new down line (3 bars, P&L=+1.56%)",8
18,LONG,2017-08-21 16:00,2017-08-21 17:10,4005.99,4019.99,0.3495,6.99,70.0,L1,"EMA new down line (2 bars, P&L=+0.35%)",8
19,SHORT,2017-08-21 17:20,2017-08-21 18:30,4016.00,4016.51,-0.0127,-0.25,70.0,L1,"SL L1 hit (close $4,027.00)",8
20,SHORT,2017-08-21 18:40,2017-08-21 20:35,4026.99,4024.04,0.0733,1.47,115.0,L3,"SL L3 hit (close $4,027.05)",6
21,LONG,2017-08-22 05:20,2017-08-22 05:45,3680.00,3400.00,-7.6087,-152.17,25.0,L1,Emergency stop -7.6%,6
22,SHORT,2017-08-22 05:55,2017-08-22 06:15,3626.99,3769.98,-3.9424,-78.74,20.0,L1,Emergency stop -3.9%,11
23,SHORT,2017-08-22 07:05,2017-08-22 09:30,3744.25,3875.85,-3.5147,-70.15,145.0,L1,Hard stop -3.5%,6
24,LONG,2017-08-22 09:55,2017-08-22 13:25,3904.56,3889.38,-0.3888,-7.75,210.0,L2,"SL L2 hit (close $3,904.32)",17
25,SHORT,2017-08-22 13:35,2017-08-22 14:50,3925.99,3817.90,2.7532,54.91,75.0,L4,"SL L4 hit (close $3,849.00)",6
26,LONG,2017-08-22 15:25,2017-08-22 16:50,3874.41,3905.84,0.8112,16.19,85.0,L4,"SL L4 hit (close $3,905.84)",8
27,LONG,2017-08-22 17:00,2017-08-22 18:00,3888.79,3954.50,1.6897,33.72,60.0,L3,"EMA new down line (4 bars, P&L=+1.69%)",6
28,LONG,2017-08-22 18:10,2017-08-22 19:20,3965.28,4019.98,1.3795,27.54,70.0,L4,"SL L4 hit (close $4,028.83)",10
29,LONG,2017-08-23 04:00,2017-08-23 10:40,4100.42,4195.00,2.3066,46.06,400.0,L5,"SL L5 hit (close $4,195.00)",6
30,SHORT,2017-08-23 10:50,2017-08-23 14:20,4188.63,4167.18,0.5121,10.23,210.0,L1,"EMA new up line (2 bars, P&L=+0.51%)",7
31,SHORT,2017-08-23 14:45,2017-08-23 19:10,4168.00,4143.36,0.5912,11.81,265.0,L1,"SL L1 hit (close $4,165.99)",10
32,LONG,2017-08-24 05:10,2017-08-24 06:10,4140.76,4148.34,0.1831,3.66,60.0,L1,"EMA new down line (3 bars, P&L=+0.18%)",7
33,LONG,2017-08-24 06:20,2017-08-24 09:35,4150.68,4170.00,0.4655,9.30,195.0,L2,"SL L2 hit (close $4,169.18)",7
34,SHORT,2017-08-24 10:50,2017-08-24 12:00,4196.18,4202.00,-0.1387,-2.77,70.0,L1,"SL L1 hit (close $4,202.00)",4
35,SHORT,2017-08-24 12:20,2017-08-24 13:30,4166.00,4149.33,0.4001,8.00,70.0,L1,"EMA new up line (2 bars, P&L=+0.40%)",12
36,LONG,2017-08-24 14:30,2017-08-24 15:35,4215.00,4230.00,0.3559,7.11,65.0,L1,"EMA new down line (3 bars, P&L=+0.36%)",15
37,LONG,2017-08-24 16:00,2017-08-24 23:40,4223.99,4310.66,2.0519,41.01,460.0,L4,"SL L4 hit (close $4,298.25)",6
38,LONG,2017-08-25 04:25,2017-08-25 05:25,4328.62,4335.28,0.1539,3.08,60.0,L1,"EMA new down line (4 bars, P&L=+0.15%)",11
39,SHORT,2017-08-25 06:15,2017-08-25 16:45,4281.81,4453.91,-4.0193,-80.37,630.0,L1,Hard stop -4.0%,12
40,LONG,2017-08-25 16:55,2017-08-25 20:00,4447.31,4275.50,-3.8632,-77.19,185.0,L1,Hard stop -3.9%,12
41,LONG,2017-08-26 04:40,2017-08-26 06:15,4271.51,4280.81,0.2177,4.35,95.0,L1,"EMA new down line (2 bars, P&L=+0.22%)",5
42,SHORT,2017-08-26 06:25,2017-08-26 10:10,4280.82,4289.12,-0.1939,-3.87,225.0,L1,"SL L1 hit (close $4,289.12)",6
43,LONG,2017-08-26 10:20,2017-08-26 11:30,4289.12,4292.80,0.0858,1.71,70.0,L1,"SL L1 hit (close $4,292.80)",7
44,SHORT,2017-08-26 11:45,2017-08-26 13:10,4288.72,4276.81,0.2777,5.54,85.0,L1,"SL L1 hit (close $4,276.81)",7
45,LONG,2017-08-26 13:45,2017-08-26 19:55,4274.84,4293.52,0.4370,8.72,370.0,L2,"EMA new down line (2 bars, P&L=+0.44%)",6
46,SHORT,2017-08-27 04:00,2017-08-27 06:00,4329.10,4320.52,0.1982,3.96,120.0,L1,"EMA new up line (2 bars, P&L=+0.20%)",14
47,LONG,2017-08-27 06:10,2017-08-27 07:55,4314.91,4313.84,-0.0248,-0.50,105.0,L1,"SL L1 hit (close $4,323.74)",5
48,SHORT,2017-08-27 08:05,2017-08-27 09:25,4313.84,4329.32,-0.3588,-7.17,80.0,L1,"SL L1 hit (close $4,329.32)",13
49,LONG,2017-08-27 09:35,2017-08-27 17:25,4345.81,4370.00,0.5566,11.11,470.0,L1,"SL L1 hit (close $4,328.33)",10
50,SHORT,2017-08-27 17:55,2017-08-27 22:35,4340.00,4327.63,0.2850,5.69,280.0,L1,"EMA new up line (2 bars, P&L=+0.29%)",6
51,SHORT,2017-08-28 04:10,2017-08-28 11:05,4166.65,4330.00,-3.9204,-78.29,415.0,L1,Hard stop -3.9%,17
52,LONG,2017-08-28 11:15,2017-08-28 13:55,4330.00,4347.00,0.3926,7.83,160.0,L1,"EMA new down line (3 bars, P&L=+0.39%)",15
53,SHORT,2017-08-28 15:25,2017-08-28 16:35,4292.77,4322.57,-0.6942,-13.85,70.0,L1,"SL L1 hit (close $4,302.28)",5
54,SHORT,2017-08-28 18:25,2017-08-28 20:45,4323.32,4302.15,0.4897,9.77,140.0,L1,"SL L1 hit (close $4,339.78)",8
55,SHORT,2017-08-29 04:10,2017-08-29 06:30,4358.50,4351.00,0.1721,3.43,140.0,L1,"EMA new up line (4 bars, P&L=+0.17%)",6
56,LONG,2017-08-29 07:15,2017-08-29 13:55,4404.07,4580.00,3.9947,79.72,400.0,L7,"SL L7 hit (close $4,573.23)",11
57,SHORT,2017-08-29 14:45,2017-08-29 17:50,4547.01,4528.45,0.4082,8.15,185.0,L2,"SL L2 hit (close $4,544.99)",5
58,LONG,2017-08-29 18:00,2017-08-29 19:15,4533.47,4542.07,0.1897,3.79,75.0,L1,"EMA new down line (3 bars, P&L=+0.19%)",11
59,LONG,2017-08-30 04:05,2017-08-30 05:10,4609.74,4617.00,0.1575,3.15,65.0,L1,"EMA new down line (3 bars, P&L=+0.16%)",8
60,LONG,2017-08-30 05:20,2017-08-30 10:30,4616.99,4416.05,-4.3522,-86.94,310.0,L1,Hard stop -4.4%,9
61,LONG,2017-08-30 10:40,2017-08-30 11:50,4508.99,4535.00,0.5768,11.51,70.0,L1,"EMA new down line (4 bars, P&L=+0.58%)",4
62,LONG,2017-08-30 13:00,2017-08-30 14:15,4548.74,4580.76,0.7039,14.05,75.0,L1,"SL L1 hit (close $4,553.11)",10
63,SHORT,2017-08-30 14:50,2017-08-30 15:55,4558.14,4546.77,0.2494,4.98,65.0,L1,"EMA new up line (2 bars, P&L=+0.25%)",8
64,LONG,2017-08-30 16:05,2017-08-30 17:15,4546.77,4554.08,0.1608,3.21,70.0,L1,"EMA new down line (3 bars, P&L=+0.16%)",4
65,LONG,2017-08-30 17:25,2017-08-31 03:45,4598.31,4605.99,0.1670,3.33,620.0,L1,"EMA new down line (2 bars, P&L=+0.17%)",9
66,SHORT,2017-08-31 04:20,2017-08-31 06:55,4586.50,4572.99,0.2946,5.88,155.0,L1,"SL L1 hit (close $4,603.34)",4
67,SHORT,2017-08-31 07:35,2017-08-31 19:05,4572.64,4733.29,-3.5133,-70.15,690.0,L1,Hard stop -3.5%,9
68,SHORT,2017-09-01 04:25,2017-09-01 06:45,4717.00,4673.24,0.9277,18.51,140.0,L2,"SL L2 hit (close $4,673.24)",7
69,LONG,2017-09-01 06:55,2017-09-01 08:15,4666.66,4716.47,1.0674,21.30,80.0,L3,"SL L3 hit (close $4,708.09)",6
70,LONG,2017-09-01 09:20,2017-09-01 11:10,4749.99,4770.38,0.4293,8.57,110.0,L1,"SL L1 hit (close $4,725.88)",10
71,LONG,2017-09-01 11:50,2017-09-01 13:30,4772.90,4830.00,1.1963,23.88,100.0,L1,"SL L1 hit (close $4,777.41)",4
72,SHORT,2017-09-01 14:15,2017-09-02 01:55,4740.00,4932.38,-4.0586,-81.04,700.0,L1,Hard stop -4.1%,16
73,LONG,2017-09-02 06:10,2017-09-02 07:50,4600.00,4681.20,1.7652,35.22,100.0,L4,"SL L4 hit (close $4,690.19)",5
74,SHORT,2017-09-02 08:10,2017-09-02 10:00,4688.69,4631.14,1.2274,24.50,110.0,L4,"SL L4 hit (close $4,604.02)",9
75,LONG,2017-09-02 10:15,2017-09-02 11:30,4607.50,4658.69,1.1110,22.18,75.0,L1,"EMA new down line (2 bars, P&L=+1.11%)",9
76,SHORT,2017-09-02 11:50,2017-09-02 13:25,4632.09,4637.28,-0.1120,-2.24,95.0,L2,"SL L2 hit (close $4,637.56)",4
77,SHORT,2017-09-02 14:35,2017-09-02 15:45,4458.83,4483.48,-0.5528,-11.04,70.0,L1,"SL L1 hit (close $4,455.03)",19
78,LONG,2017-09-02 15:55,2017-09-02 17:55,4460.19,4530.01,1.5654,31.25,120.0,L3,"SL L3 hit (close $4,465.07)",8
79,SHORT,2017-09-02 18:45,2017-09-02 19:45,4500.81,4491.10,0.2157,4.31,60.0,L1,"EMA new up line (4 bars, P&L=+0.22%)",7
80,LONG,2017-09-03 04:40,2017-09-03 09:35,4703.74,4513.47,-4.0451,-80.79,295.0,L1,Hard stop -4.0%,16
81,LONG,2017-09-03 10:05,2017-09-03 13:35,4550.00,4375.32,-3.8391,-76.61,210.0,L1,Hard stop -3.8%,4
82,SHORT,2017-09-03 13:45,2017-09-03 15:20,4306.84,4465.83,-3.6916,-73.61,95.0,L1,Hard stop -3.7%,14
83,SHORT,2017-09-03 15:40,2017-09-03 20:00,4388.73,4550.00,-3.6746,-73.22,260.0,L1,Hard stop -3.7%,5
84,LONG,2017-09-04 04:05,2017-09-04 05:15,4399.74,4460.12,1.3724,27.33,70.0,L2,"EMA new down line (2 bars, P&L=+1.37%)",6
85,SHORT,2017-09-04 06:25,2017-09-04 08:00,4400.61,4103.01,6.7627,134.69,95.0,L8,"SL L8 hit (close $4,186.96)",10
86,SHORT,2017-09-04 08:35,2017-09-04 08:40,4078.05,4372.20,-7.2130,-143.85,5.0,L1,Emergency stop -7.2%,9
87,SHORT,2017-09-04 09:25,2017-09-04 12:35,4290.60,4188.00,2.3913,47.62,190.0,L6,"EMA new up line (2 bars, P&L=+2.39%)",6
88,SHORT,2017-09-04 12:45,2017-09-04 13:30,4130.01,4309.99,-4.3579,-86.83,45.0,L1,Emergency stop -4.4%,7
89,LONG,2017-09-04 13:45,2017-09-04 14:55,4300.04,4120.01,-4.1867,-83.34,70.0,L1,Hard stop -4.2%,16
