trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,SHORT,2017-08-17 13:00,2017-08-17 16:55,4430.00,4354.18,1.7115,34.23,235.0,L4,"EMA new up line (2 bars, P&L=+1.71%)",7
2,SHORT,2017-08-17 17:25,2017-08-17 18:25,4335.28,4287.69,1.0977,21.95,60.0,L2,"EMA new up line (2 bars, P&L=+1.10%)",6
3,LONG,2017-08-18 04:00,2017-08-18 05:50,4269.26,4288.21,0.4439,8.88,110.0,L3,"SL L3 hit (close $4,289.88)",7
4,SHORT,2017-08-18 06:45,2017-08-18 10:35,4289.09,4368.68,-1.8556,-37.11,230.0,L1,Hard stop -1.9%,6
5,SHORT,2017-08-18 11:20,2017-08-18 13:45,4330.00,4287.09,0.9910,19.82,145.0,L4,"SL L4 hit (close $4,293.65)",7
6,LONG,2017-08-18 15:00,2017-08-18 17:00,4255.00,4240.73,-0.3354,-6.71,120.0,L1,"SL L1 hit (close $4,250.34)",4
7,LONG,2017-08-18 17:55,2017-08-18 18:55,4193.35,4117.41,-1.8110,-36.22,60.0,L1,Hard stop -1.8%,4
8,LONG,2017-08-19 04:05,2017-08-19 05:25,4156.00,4047.71,-2.6056,-52.11,80.0,L1,Hard stop -2.6%,4
9,LONG,2017-08-19 06:00,2017-08-19 07:00,4077.00,3933.21,-3.5269,-70.50,60.0,L1,Hard stop -3.5%,5
10,LONG,2017-08-19 07:35,2017-08-19 08:40,4004.96,4014.47,0.2375,4.74,65.0,L1,"EMA new down line (2 bars, P&L=+0.24%)",6
11,SHORT,2017-08-19 10:15,2017-08-19 12:15,4033.51,3945.12,2.1914,43.78,120.0,L4,"SL L4 hit (close $3,968.35)",6
12,SHORT,2017-08-19 14:30,2017-08-19 16:10,4045.00,4049.69,-0.1159,-2.32,100.0,L3,"SL L3 hit (close $4,023.04)",7
13,LONG,2017-08-19 17:20,2017-08-19 19:50,4000.98,4076.12,1.8780,37.53,150.0,L4,"SL L4 hit (close $4,076.12)",6
14,LONG,2017-08-20 06:15,2017-08-20 08:10,4093.57,4155.87,1.5219,30.43,115.0,L3,"SL L3 hit (close $4,118.33)",4
15,SHORT,2017-08-20 09:15,2017-08-20 12:10,4155.00,4125.43,0.7117,14.23,175.0,L2,"SL L2 hit (close $4,125.43)",7
16,SHORT,2017-08-20 12:45,2017-08-20 14:20,4108.68,4079.84,0.7019,14.04,95.0,L1,"SL L1 hit (close $4,096.32)",4
17,SHORT,2017-08-20 16:30,2017-08-20 19:10,4111.51,4185.94,-1.8103,-36.21,160.0,L1,Hard stop -1.8%,5
18,LONG,2017-08-21 05:00,2017-08-21 06:10,4080.26,3971.38,-2.6685,-53.36,70.0,L1,Hard stop -2.7%,6
19,LONG,2017-08-21 07:05,2017-08-21 08:25,3970.63,4035.00,1.6212,32.40,80.0,L3,"SL L3 hit (close $4,010.79)",4
20,LONG,2017-08-21 10:15,2017-08-21 11:40,4075.00,4000.01,-1.8402,-36.79,85.0,L1,Hard stop -1.8%,7
21,SHORT,2017-08-21 13:10,2017-08-21 14:20,4023.11,3915.66,2.6708,53.38,70.0,L3,"EMA new up line (2 bars, P&L=+2.67%)",4
22,LONG,2017-08-21 15:35,2017-08-21 17:10,3996.75,4019.99,0.5815,11.63,95.0,L1,"EMA new down line (2 bars, P&L=+0.58%)",7
23,LONG,2017-08-21 17:50,2017-08-21 18:55,4029.06,3918.80,-2.7366,-54.73,65.0,L1,Hard stop -2.7%,7
24,LONG,2017-08-22 05:20,2017-08-22 05:45,3680.00,3400.00,-7.6087,-152.08,25.0,L1,Emergency stop -7.6%,6
25,SHORT,2017-08-22 07:05,2017-08-22 09:10,3744.25,3855.34,-2.9669,-59.21,125.0,L1,Hard stop -3.0%,6
26,SHORT,2017-08-22 10:10,2017-08-22 11:15,3870.27,3853.54,0.4323,8.62,65.0,L1,"EMA new up line (2 bars, P&L=+0.43%)",4
27,SHORT,2017-08-22 12:00,2017-08-22 14:05,3865.55,3857.30,0.2134,4.26,125.0,L1,"EMA new up line (2 bars, P&L=+0.21%)",7
28,LONG,2017-08-22 15:30,2017-08-22 16:50,3869.46,3905.84,0.9402,18.76,80.0,L4,"SL L4 hit (close $3,905.84)",6
29,SHORT,2017-08-22 17:55,2017-08-22 18:20,3943.00,4067.00,-3.1448,-62.75,25.0,L1,Emergency stop -3.1%,6
30,LONG,2017-08-23 04:00,2017-08-23 10:40,4100.42,4195.00,2.3066,45.99,400.0,L5,"SL L5 hit (close $4,195.00)",6
31,LONG,2017-08-23 11:20,2017-08-23 12:35,4220.00,4240.88,0.4948,9.87,75.0,L1,"EMA new down line (2 bars, P&L=+0.49%)",5
32,SHORT,2017-08-23 13:05,2017-08-23 14:05,4225.84,4188.88,0.8746,17.45,60.0,L1,"EMA new up line (2 bars, P&L=+0.87%)",4
33,LONG,2017-08-24 05:10,2017-08-24 06:10,4140.76,4148.34,0.1831,3.65,60.0,L1,"EMA new down line (3 bars, P&L=+0.18%)",7
34,SHORT,2017-08-24 06:50,2017-08-24 09:00,4133.95,4208.98,-1.8150,-36.22,130.0,L1,Hard stop -1.8%,6
35,SHORT,2017-08-24 09:40,2017-08-24 10:40,4210.00,4183.67,0.6254,12.48,60.0,L1,"EMA new up line (2 bars, P&L=+0.63%)",6
36,SHORT,2017-08-24 13:20,2017-08-24 14:50,4168.48,4250.90,-1.9772,-39.45,90.0,L1,Hard stop -2.0%,5
37,LONG,2017-08-24 16:00,2017-08-24 23:40,4223.99,4310.66,2.0519,40.92,460.0,L4,"SL L4 hit (close $4,298.25)",6
38,LONG,2017-08-25 06:40,2017-08-25 08:10,4292.76,4317.00,0.5647,11.27,90.0,L1,"EMA new down line (2 bars, P&L=+0.56%)",4
39,SHORT,2017-08-25 08:40,2017-08-25 14:15,4316.55,4340.00,-0.5433,-10.84,335.0,L1,"SL L1 hit (close $4,340.00)",7
40,SHORT,2017-08-25 17:10,2017-08-25 18:10,4414.54,4403.32,0.2542,5.07,60.0,L1,"EMA new up line (5 bars, P&L=+0.25%)",5
41,LONG,2017-08-26 04:40,2017-08-26 06:15,4271.51,4280.81,0.2177,4.34,95.0,L1,"EMA new down line (2 bars, P&L=+0.22%)",5
42,SHORT,2017-08-26 07:15,2017-08-26 10:10,4297.94,4289.12,0.2052,4.09,175.0,L1,"SL L1 hit (close $4,289.12)",7
43,SHORT,2017-08-26 10:45,2017-08-26 12:35,4317.99,4273.79,1.0236,20.42,110.0,L1,"SL L1 hit (close $4,306.74)",4
44,LONG,2017-08-26 13:10,2017-08-26 19:55,4276.81,4293.52,0.3907,7.80,405.0,L2,"EMA new down line (2 bars, P&L=+0.39%)",4
45,SHORT,2017-08-27 05:10,2017-08-27 06:10,4328.00,4314.91,0.3024,6.04,60.0,L1,"EMA new up line (4 bars, P&L=+0.30%)",6
46,LONG,2017-08-27 06:50,2017-08-27 10:00,4329.42,4319.21,-0.2358,-4.71,190.0,L1,"SL L1 hit (close $4,320.81)",6
47,LONG,2017-08-27 12:45,2017-08-27 16:35,4319.66,4337.00,0.4014,8.01,230.0,L1,"SL L1 hit (close $4,302.00)",6
48,SHORT,2017-08-27 17:55,2017-08-27 22:35,4340.00,4327.63,0.2850,5.69,280.0,L1,"EMA new up line (2 bars, P&L=+0.29%)",6
49,LONG,2017-08-28 04:50,2017-08-28 06:45,4220.00,4222.00,0.0474,0.95,115.0,L1,"SL L1 hit (close $4,222.00)",6
50,SHORT,2017-08-28 08:55,2017-08-28 09:55,4252.70,4227.00,0.6043,12.06,60.0,L1,"EMA new up line (2 bars, P&L=+0.60%)",7
51,SHORT,2017-08-28 11:25,2017-08-28 16:20,4288.07,4281.54,0.1523,3.04,295.0,L1,"EMA new up line (4 bars, P&L=+0.15%)",4
52,SHORT,2017-08-28 18:35,2017-08-28 20:45,4325.63,4302.15,0.5428,10.84,130.0,L1,"SL L1 hit (close $4,339.78)",6
53,SHORT,2017-08-29 04:10,2017-08-29 06:30,4358.50,4351.00,0.1721,3.44,140.0,L1,"EMA new up line (4 bars, P&L=+0.17%)",6
54,LONG,2017-08-29 07:20,2017-08-29 13:55,4380.00,4580.00,4.5662,91.18,395.0,L7,"SL L7 hit (close $4,573.23)",7
55,SHORT,2017-08-29 14:45,2017-08-29 17:50,4547.01,4528.45,0.4082,8.16,185.0,L2,"SL L2 hit (close $4,544.99)",5
