trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,SHORT,2017-08-17 13:00,2017-08-17 16:55,4430.00,4354.18,1.7115,34.23,235.0,L4,"EMA new up line (2 bars, P&L=+1.71%)",7
2,LONG,2017-08-17 17:15,2017-08-17 18:40,4322.23,4237.85,-1.9522,-39.04,85.0,L1,Hard stop -2.0%,5
3,LONG,2017-08-18 04:00,2017-08-18 05:50,4269.26,4288.21,0.4439,8.88,110.0,L3,"SL L3 hit (close $4,289.88)",7
4,SHORT,2017-08-18 06:45,2017-08-18 10:35,4289.09,4368.68,-1.8556,-37.11,230.0,L1,Hard stop -1.9%,6
5,SHORT,2017-08-18 11:20,2017-08-18 13:45,4330.00,4287.09,0.9910,19.81,145.0,L4,"SL L4 hit (close $4,293.65)",7
6,LONG,2017-08-18 15:00,2017-08-18 17:00,4255.00,4240.73,-0.3354,-6.71,120.0,L1,"SL L1 hit (close $4,250.34)",4
7,SHORT,2017-08-18 18:25,2017-08-18 19:35,4173.00,4105.36,1.6209,32.41,70.0,L4,"SL L4 hit (close $4,106.36)",5
8,LONG,2017-08-19 04:20,2017-08-19 05:25,4146.00,4047.71,-2.3707,-47.41,65.0,L1,Hard stop -2.4%,7
9,LONG,2017-08-19 06:00,2017-08-19 07:00,4077.00,3933.21,-3.5269,-70.51,60.0,L1,Hard stop -3.5%,6
10,LONG,2017-08-19 07:35,2017-08-19 08:40,4004.96,4014.47,0.2375,4.74,65.0,L1,"EMA new down line (2 bars, P&L=+0.24%)",6
11,SHORT,2017-08-19 10:15,2017-08-19 12:15,4033.51,3945.12,2.1914,43.78,120.0,L4,"SL L4 hit (close $3,968.35)",5
12,SHORT,2017-08-19 13:25,2017-08-19 14:40,4059.93,4045.19,0.3631,7.26,75.0,L1,"EMA new up line (2 bars, P&L=+0.36%)",4
13,SHORT,2017-08-19 14:50,2017-08-19 16:10,4039.78,4049.69,-0.2453,-4.90,80.0,L3,"SL L3 hit (close $4,023.04)",5
14,LONG,2017-08-19 16:30,2017-08-19 19:50,4023.85,4076.12,1.2990,25.97,200.0,L3,"SL L3 hit (close $4,076.12)",7
