trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,LONG,2017-08-17 12:20,2017-08-17 15:20,309.72,307.86,-0.6005,-12.01,180.0,L1,"Time exit (180min, P&L=-0.60%)",7
2,SHORT,2017-08-17 16:50,2017-08-17 17:20,303.72,308.33,-1.5178,-30.35,30.0,L1,Hard stop -1.5%,8
3,SHORT,2017-08-17 17:35,2017-08-17 18:05,303.98,310.19,-2.0429,-40.84,30.0,L1,Hard stop -2.0%,13
4,LONG,2017-08-17 18:15,2017-08-17 18:30,308.58,301.97,-2.1421,-42.81,15.0,L1,Hard stop -2.1%,8
5,SHORT,2017-08-18 04:25,2017-08-18 05:25,298.94,303.77,-1.6157,-32.27,60.0,L1,Hard stop -1.6%,15
6,LONG,2017-08-18 06:00,2017-08-18 06:30,304.55,305.18,0.2069,4.13,30.0,L1,"EMA new down line (2 bars, P&L=+0.21%)",10
7,LONG,2017-08-18 07:20,2017-08-18 08:00,308.79,309.49,0.2267,4.53,40.0,L1,"EMA new down line (2 bars, P&L=+0.23%)",14
8,SHORT,2017-08-18 08:40,2017-08-18 09:35,308.49,307.72,0.2496,4.98,55.0,L1,"EMA new up line (2 bars, P&L=+0.25%)",8
9,SHORT,2017-08-18 09:45,2017-08-18 10:30,303.65,308.52,-1.6038,-32.03,45.0,L1,Hard stop -1.6%,12
10,LONG,2017-08-18 10:40,2017-08-18 11:30,310.01,310.05,0.0129,0.26,50.0,L1,"EMA new down line (2 bars, P&L=+0.01%)",16
11,SHORT,2017-08-18 11:55,2017-08-18 12:30,307.78,306.47,0.4256,8.50,35.0,L1,"EMA new up line (3 bars, P&L=+0.43%)",10
12,SHORT,2017-08-18 12:40,2017-08-18 13:05,309.45,308.47,0.3167,6.32,25.0,L1,"EMA new up line (2 bars, P&L=+0.32%)",8
13,SHORT,2017-08-18 13:20,2017-08-18 14:50,303.88,299.99,1.2801,25.56,90.0,L3,SL L3 hit (close $299.99),13
14,SHORT,2017-08-18 15:20,2017-08-18 17:50,297.91,296.21,0.5706,11.40,150.0,L3,SL L3 hit (close $296.21),9
15,LONG,2017-08-18 18:25,2017-08-18 18:55,297.00,289.75,-2.4411,-48.76,30.0,L1,Hard stop -2.4%,8
16,LONG,2017-08-19 04:10,2017-08-19 04:55,297.19,291.87,-1.7901,-35.74,45.0,L1,Hard stop -1.8%,9
17,SHORT,2017-08-19 05:30,2017-08-19 07:15,291.87,289.84,0.6955,13.88,105.0,L1,SL L1 hit (close $292.17),12
18,LONG,2017-08-19 09:20,2017-08-19 10:05,290.04,290.97,0.3206,6.40,45.0,L1,"EMA new down line (2 bars, P&L=+0.32%)",9
19,SHORT,2017-08-19 10:15,2017-08-19 11:25,289.16,285.47,1.2761,25.47,70.0,L1,"EMA new up line (2 bars, P&L=+1.28%)",8
20,SHORT,2017-08-19 11:50,2017-08-19 11:55,278.00,282.58,-1.6475,-32.90,5.0,L1,Hard stop -1.6%,18
21,SHORT,2017-08-19 13:30,2017-08-19 14:30,286.59,287.06,-0.1640,-3.27,60.0,L1,SL L1 hit (close $287.06),7
22,LONG,2017-08-19 14:40,2017-08-19 14:55,288.62,283.00,-1.9472,-38.87,15.0,L1,Hard stop -1.9%,13
23,SHORT,2017-08-19 15:05,2017-08-19 15:35,285.54,285.46,0.0280,0.56,30.0,L1,"EMA new up line (5 bars, P&L=+0.03%)",11
24,SHORT,2017-08-19 15:45,2017-08-19 16:35,286.56,286.12,0.1535,3.06,50.0,L1,"EMA new up line (6 bars, P&L=+0.15%)",7
25,SHORT,2017-08-19 16:50,2017-08-19 17:50,286.37,293.15,-2.3676,-47.24,60.0,L1,Hard stop -2.4%,9
26,LONG,2017-08-19 18:55,2017-08-19 20:15,295.00,288.92,-2.0610,-41.10,80.0,L1,Hard stop -2.1%,10
27,LONG,2017-08-20 04:05,2017-08-20 04:20,292.41,287.97,-1.5184,-30.27,15.0,L1,Hard stop -1.5%,7
28,SHORT,2017-08-20 04:30,2017-08-20 05:30,288.30,293.14,-1.6788,-33.46,60.0,L1,Hard stop -1.7%,13
29,LONG,2017-08-20 05:40,2017-08-20 06:35,292.17,290.15,-0.6914,-13.77,55.0,L1,SL L1 hit (close $290.15),14
30,LONG,2017-08-20 07:20,2017-08-20 08:15,293.15,286.57,-2.2446,-44.71,55.0,L1,Hard stop -2.2%,8
31,LONG,2017-08-20 08:45,2017-08-20 10:45,295.98,296.00,0.0068,0.13,120.0,L1,"EMA new down line (2 bars, P&L=+0.01%)",9
32,SHORT,2017-08-20 11:50,2017-08-20 13:10,294.62,292.28,0.7942,15.81,80.0,L1,"EMA new up line (5 bars, P&L=+0.79%)",7
33,SHORT,2017-08-20 13:20,2017-08-20 16:00,292.28,297.92,-1.9297,-38.43,160.0,L1,Hard stop -1.9%,12
34,SHORT,2017-08-20 16:20,2017-08-20 17:05,294.23,293.64,0.2005,3.99,45.0,L1,"EMA new up line (6 bars, P&L=+0.20%)",9
35,SHORT,2017-08-20 17:15,2017-08-20 18:00,294.64,299.44,-1.6291,-32.43,45.0,L1,Hard stop -1.6%,9
