trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,LONG,2017-08-17 12:20,2017-08-17 18:30,309.72,301.97,-2.5023,-50.05,370.0,L1,Hard stop -2.5%,7
2,SHORT,2017-08-18 04:25,2017-08-18 06:45,298.94,306.90,-2.6627,-53.23,140.0,L1,Hard stop -2.7%,15
3,LONG,2017-08-18 07:20,2017-08-18 08:40,308.79,308.49,-0.0972,-1.94,80.0,L1,SL L1 hit (close $308.49),14
4,SHORT,2017-08-18 08:55,2017-08-18 14:50,304.23,299.99,1.3937,27.84,355.0,L3,SL L3 hit (close $299.99),16
5,SHORT,2017-08-18 15:20,2017-08-18 17:50,297.91,296.21,0.5706,11.40,150.0,L3,SL L3 hit (close $296.21),9
6,LONG,2017-08-18 18:25,2017-08-18 20:30,297.00,288.49,-2.8653,-57.27,125.0,L1,Hard stop -2.9%,8
7,LONG,2017-08-19 04:10,2017-08-19 06:55,297.19,289.02,-2.7491,-54.91,165.0,L1,Hard stop -2.7%,9
8,SHORT,2017-08-19 07:05,2017-08-19 08:05,289.84,288.86,0.3381,6.75,60.0,L1,"EMA new up line (2 bars, P&L=+0.34%)",14
9,LONG,2017-08-19 08:50,2017-08-19 10:00,288.40,290.96,0.8877,17.72,70.0,L3,SL L3 hit (close $290.30),4
10,SHORT,2017-08-19 10:15,2017-08-19 11:25,289.16,285.47,1.2761,25.48,70.0,L1,"EMA new up line (2 bars, P&L=+1.28%)",8
11,SHORT,2017-08-19 11:50,2017-08-19 12:40,278.00,289.15,-4.0108,-80.11,50.0,L1,Emergency stop -4.0%,18
12,SHORT,2017-08-19 13:30,2017-08-19 14:55,286.59,283.00,1.2527,25.00,85.0,L2,"EMA new up line (6 bars, P&L=+1.25%)",7
13,SHORT,2017-08-19 15:05,2017-08-19 17:30,285.54,288.66,-1.0927,-21.81,145.0,L1,SL L1 hit (close $288.66),11
14,LONG,2017-08-19 17:40,2017-08-19 19:05,290.46,293.38,1.0053,20.06,85.0,L3,SL L3 hit (close $292.63),13
15,LONG,2017-08-20 04:00,2017-08-20 06:40,292.41,293.14,0.2496,4.98,160.0,L1,"EMA new down line (2 bars, P&L=+0.25%)",6
